PCTC(RGTI),PCTC(RGTIW)
-1.52493,-3.96104
2.89,5.61
-7.41,-11.54
2.78,5.63
-5,-7.76
-11.71,-16.57
4.83,5.74
11.66,14.44
4.56,7.12
-7.44,-11.28
1.69,1.33
-5.84,-9.25
-1.93,-4.75
-6.39,-7.93
-5.93,-7.72
-8.78,-13.3
3.85,4.96
-12.3,-15.07
-2.66,-4.15
2.32,3.95
18.19,22.82
-8.17,-10.7
8.7,11.21
-2.33,-3.49
0.59565,0.27916
7.47,10.13
8.3,10.96
15.42,23.58
2.58,3.84
1.95,3.33
-6.85,-10.43
-3.05,-5.6
7.65,13.67
-3.18,-5.34
7.04,8.82
7.75,11.28
15.09,26.49
8.13,13.84
9.57,17.53
3.09,8.21
0.68134,0.1224
13.77,32.13
3.34,5.38
-1.22,-0.81967
8.2,8.41
-0.39448,-0.53286
-1.88,-2.96
-0.72226,-0.89286
-3.59,-7.53
-2.02,-1.55
-2.23,-3.98
5.47,7.02
0.65402,-2.23
6.25,10.78
-2.36,-6.05
4.44,3.99
-2.53,-6.21
-0.9396,3.87
-7.95,-10.88
0.3621,-2.21
-6.46,-6.76
7.34,12.42
6.29,9.67
3.51,3.07
3.63,3.62
-2.34,-0.68259
0.12788,-3.15
-1.9,-2.29
4.64,3.81
8.84,14.29
0.5698,0.19231
-1.23,-3.21
-3.28,-5.89
-6.4,-8.22
-1.83,-0.99338
-3.14,-3.63
-1.24,1
3.73,2.86
-4.16,-7.26
-6.24,-4.67
2.69,3.54
6.46,9.84
20,26.73
-2.08,-3.28
3.82,5.14
-5.95,-4.39
-3.41,-4.54
-0.95308,0.41841
-3.32,-7
4.01,0.20121
4.1,3.96
13.64,14.76
-2.66,2.25
5.99,6.08
-2.21,-3.66
-1.16,0.5
-5.94,-7.08
1.77,2.78
-0.09259259,-3.09
-3.91,-7.64
-2.32,-5.69
-4.41,-1.86
4.47,2.75
-2.15,-0.23641
-4.04,-6.73
2.71,4
-2.52,-5.06
-4.31,-3.86
0.53476,-0.75949
-7.79,-12.32
-2.48,-5.64
-4.22,-5
-0.08149959,2.33
-3.12,-1.16
-8.74,-10.62
2.16,-1.5
-5.21,-10.2
7.52,10.34
25.66,32.12
-7.51,-7.95
-4.87,-2.35
4.87,6.22
-1.66,-3.06
1.23,1.27
13.89,4.08
-3.71,4.56
-1.95,-3.7
2.62,-0.26316
3.72,13.27
-4.54,-7.6
3.38,0.625
-6.55,-3.03
15.29,14.29
0.32931,2.33
3.26,2.08
-5.04,-2.94
-2.85,-1.27
1.52,-0.32154
0.7584,6.87
0.55188,0.67114
4.13,4.98
-0.73439,-0.38168
0.36188,-4.71
-0.36232,-2.91
-2.82,-5.46
-5.74,-10.3
-3.7,-5.76
3.86,2.24
17.67,16.48
-13.65,-17.43
20.38,19.56
-3.47,-5.77
2.13,2.31
11.86,8.08
-3.7,-2.17
1.93,5.77
-2.98,-3.07
-6.1,-8.44
-7.18,-4.45
2.72,1.51
3.71,7.74
6.71,6.45
-7.51,-10.75
-6.87,-8.1
-1.06,-11.76
-1.15,-0.22173
24.12,16.94
-1.46,1.6
6.93,6.21
2.68,1.13
-12.4,-12.59
9.36,12.4
16.26,11.2
4.47,-2.11
11.17,12.29
-9.84,-17.24
6.15,24.17
-12.72,-19.06
-1.69,-1.56
-8.88,-10.8
-4.53,-10.97
-7.25,-9.65
-5.05,-5.45
3.18,2.82
-7.48,-9.52
-3.12,-8.25
1.66,-1.69
7.4,6.05
-11.77,-12.53
-2.83,-3.55
-6.07,-2.94
-4.87,-7.92
-1.28,-2.28
-2.7,-4.14
8.28,8.74
7.07,10.91
-6.32,-7.53
-1.25,-0.19608
-2.75,-6.16
3.49,3.4
-5.31,-4.94
2.75,-2.11
-1.14,-5.86
34.68,47.19
-6.65,-16.5
8.6,9.32
5.6,-2.94
36.23,62.56
-17.46,-20.33
-9.62,-10.22
-20.63,-12.26
-7.12,-12.27
5.23,8.46
0.36939,-3.01
23.92,25.89
