5.25,5.25,4.2,5.1,5.75,10,6.5
6,6.75,6.5,5,9,7,9
6,5,6.25,3.25,9.25,7,3.5
7.06,6,6,6.5,8.5,9,4.13
7,5.25,6,6.5,7.5,3,6.75
7.25,6.75,6,9.25,4.5,11.5,8.25
8.5,6.25,5,13,8,6.5,5
7,2.95,4.92,7.6,7.25,7,14
5,7,6.85,6,9,8.87,5.5
5,4.35,6.5,6,9.7,6,5.5
6,6,4.5,9.5,4.5,8.74,4.23
7.18,4.38,7.5,7.3,6,7,4.28
8,5.54,5.76,6.86,6.75,10.25,4.95
6.08,6.29,6.44,6.23,6.7,8,6.25
6.2,6.75,6.5,7.5,7,10.6,4.5
7,3.4,6.5,7.5,7.9,11.75,8
5.83,6.5,7.5,6.25,7,9,11
7.5,8,8.75,8.95,8,7,8
7.5,9.25,8.06,8.5,7,7.6,8
7.25,8.25,7.6,8.25,8.5,7.84,8.5
8.25,8,9.5,7,8.75,5.75,7
9,9,3.5,11.26,10.72,8.19,4.35
10,8,9,9.25,10.25,10.34,6
8,7.25,8.5,9,7.6,8.9,7
8.25,10,8.75,4,7.75,8.55,6.16
9,7.16,7.95,8,6.75,8,8.75
7.5,9.33,6,9.16,6.16,9,8
9,9.83,7,8.25,6.83,9.25,8.55
5.67,6,6,6,7.5,8,5.16
6.43,7.28,5,5.25,7.66,7,7.16
2.95,7,6,6.7,7,10.17,3.33
4.83,7.8,3.67,4.67,7,6.5,6.5
7,4.95,2.45,3.95,8.5,9.75,8
9,7.89,7,4.5,8,8.5,6
6,5,5.5,5,8,7.5,1.95
5.45,5.45,4,10.5,7.2,9,10
